,ADX,SMA,RSI,MACD,MACD_Hist,MACD_Signal,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
154,16.4417,37.8940,51.7927,0.4331,0.1721,0.2611,38.7500,39.2500,38.0000,38.1300,1.2068,1492700,0.0000,1.0000
155,16.2848,37.8630,39.1060,0.2088,-0.0418,0.2506,36.7500,38.0000,35.3800,35.6900,1.1296,3305500,0.0000,1.0000
156,17.3154,37.6940,36.5384,-0.0197,-0.2162,0.1966,35.5000,36.2500,34.1300,35.0600,1.1097,4246200,0.0000,1.0000
157,20.0302,37.2190,27.4241,-0.4274,-0.4991,0.0718,34.0000,34.5600,31.5000,32.1900,1.0188,4927500,0.0000,1.0000
158,22.4734,36.7750,29.9278,-0.7124,-0.6273,-0.0851,33.6900,34.3100,32.5000,32.5600,1.0305,3570200,0.0000,1.0000
159,25.0453,36.1380,28.1215,-0.9770,-0.7136,-0.2634,32.3800,33.3100,31.8700,31.9400,1.0109,4226400,0.0000,1.0000
160,28.8381,35.3690,25.0587,-1.2634,-0.8000,-0.4634,31.0000,31.1900,28.5000,30.8100,0.9751,6153700,0.0000,1.0000
161,27.7477,35.0070,48.7630,-1.1287,-0.5322,-0.5965,31.7500,35.2500,30.7500,35.1300,1.1119,5966400,0.0000,1.0000
162,25.4718,34.8450,56.8686,-0.8261,-0.1837,-0.6424,37.5000,38.4400,36.5600,37.4400,1.1850,5561600,0.0000,1.0000
163,23.8827,34.7700,60.7783,-0.4751,0.1339,-0.6089,38.0600,39.1900,36.0000,38.7500,1.2265,8407400,0.0000,1.0000
164,23.6439,34.6950,54.9865,-0.3039,0.2440,-0.5479,39.7500,41.3100,36.8100,37.3800,1.1831,20357300,0.0000,1.0000
165,22.4210,34.7890,51.9739,-0.2262,0.2574,-0.4836,36.2500,37.2500,35.5000,36.6300,1.1594,7506000,0.0000,1.0000
166,21.7981,34.9520,52.2066,-0.1579,0.2605,-0.4185,37.1300,38.0600,36.5000,36.6900,1.1613,5496100,0.0000,1.0000
167,20.7279,35.4830,55.4456,-0.0381,0.3043,-0.3424,36.6900,38.0600,35.8800,37.5000,1.1869,4248000,0.0000,1.0000
168,19.8547,35.8330,48.8995,-0.0586,0.2271,-0.2856,37.9400,38.1900,36.0000,36.0600,1.1413,3411500,0.0000,1.0000
169,18.8319,36.3520,53.4381,0.0114,0.2376,-0.2262,36.7500,37.4400,35.7500,37.1300,1.1752,3844800,0.0000,1.0000
170,18.0700,36.9460,51.6287,0.0358,0.2096,-0.1738,36.8800,37.6300,36.2500,36.7500,1.1631,2833700,0.0000,1.0000
171,16.2882,36.9830,45.9428,-0.0453,0.1028,-0.1481,36.7500,36.8800,35.1300,35.5000,1.1236,3178400,0.0000,1.0000
172,15.4533,36.9830,54.5705,0.0465,0.1557,-0.1092,36.0600,37.7500,35.5000,37.4400,1.1850,4248600,0.0000,1.0000
173,15.7188,36.6330,45.4682,-0.0568,0.0419,-0.0987,38.0000,38.9400,35.0600,35.2500,1.1157,4805300,0.0000,1.0000
