,Target
1155,0.8609
1156,0.8938
1157,0.9185
1158,0.9350
1159,0.9596
1160,0.9217
1161,0.8932
1162,0.9077
1163,0.9217
1164,0.9305
1165,0.9419
1166,0.9299
1167,0.9761
1168,0.9881
1169,0.9774
1170,1.0115
1171,1.0172
1172,1.0356
1173,1.0691
1174,1.0698
1175,1.0900
1176,1.0128
1177,1.0027
1178,0.9596
1179,0.9900
1180,0.9869
1181,1.0318
1182,1.0096
1183,0.9907
1184,0.9666
1185,0.9831
1186,1.0350
1187,1.0134
1188,1.0109
1189,0.9755
1190,0.9951
1191,0.9812
1192,0.9609
1193,0.9596
1194,0.9476
1195,0.9261
1196,0.9463
1197,0.9337
1198,0.9672
1199,0.9805
1200,0.9615
1201,0.9362
1202,0.9400
1203,0.9546
1204,0.9223
1205,0.8989
1206,0.8951
1207,0.9172
1208,0.9090
1209,0.9115
1210,0.8900
1211,0.8906
1212,0.9071
1213,0.9368
1214,0.9432
1215,0.9432
1216,0.9400
1217,0.9210
1218,0.9293
1219,0.9318
1220,0.9261
1221,0.9248
1222,0.9134
1223,0.9255
1224,0.8925
1225,0.8875
1226,0.8786
1227,0.8970
1228,0.8735
1229,0.8944
1230,0.9229
1231,0.9229
1232,0.9065
1233,0.9090
1234,0.9280
1235,0.9242
1236,0.9147
1237,0.9134
1238,0.8957
1239,0.9084
1240,0.9084
1241,0.9109
1242,0.9204
1243,0.9286
1244,0.9666
1245,0.9400
1246,0.9350
1247,0.9495
1248,0.9331
1249,0.9508
1250,0.9179
1251,0.9406
1252,0.9501
1253,0.9274
1254,0.9217
1255,0.9255
1256,0.9217
1257,0.9198
1258,0.9096
1259,0.9008
1260,0.9001
1261,0.9318
1262,0.9356
1263,0.9501
1264,0.9495
1265,0.9463
1266,0.9438
1267,0.9495
1268,0.9096
1269,0.9210
1270,0.9122
1271,0.9172
1272,0.9223
1273,0.8951
1274,0.8963
1275,0.9242
1276,0.9153
1277,0.9122
1278,0.9172
1279,0.9147
1280,0.8982
1281,0.9096
1282,0.8356
1283,0.8596
1284,0.8476
1285,0.8381
1286,0.8305
1287,0.8318
1288,0.8552
1289,0.8596
1290,0.8508
1291,0.8451
1292,0.8773
1293,0.8900
1294,0.9001
1295,0.9090
1296,0.9147
1297,1.0185
1298,1.1078
1299,1.1173
1300,1.1394
1301,1.1584
1302,1.1749
1303,1.1818
1304,1.1742
1305,1.1856
1306,1.1901
1307,1.1457
1308,1.1261
1309,1.1299
1310,1.1546
1311,1.1597
1312,1.1951
1313,1.1571
1314,1.1457
1315,1.1362
1316,1.1046
1317,1.0957
1318,1.1141
1319,1.1166
1320,1.0856
1321,1.0628
1322,1.0875
1323,1.1046
1324,1.1249
1325,1.1027
1326,1.1565
1327,1.1514
1328,1.2103
1329,1.2116
1330,1.2154
1331,1.2065
1332,1.1888
1333,1.2084
1334,1.2211
1335,1.1856
1336,1.2065
1337,1.2084
1338,1.2198
1339,1.2109
1340,1.2578
1341,1.2913
1342,1.2590
1343,1.2394
1344,1.2565
1345,1.2597
1346,1.2413
1347,1.2578
1348,1.3230
1349,1.3204
1350,1.3046
1351,1.3167
1352,1.3160
1353,1.2983
1354,1.3635
1355,1.3287
1356,1.3116
1357,1.2837
1358,1.3344
1359,1.3122
1360,1.3426
1361,1.2901
1362,1.2426
1363,1.2616
1364,1.2432
1365,1.2445
1366,1.2470
1367,1.2774
1368,1.2641
1369,1.2477
1370,1.2875
1371,1.2863
1372,1.3299
1373,1.3724
1374,1.3217
1375,1.3205
1376,1.3325
1377,1.3597
1378,1.4046
1379,1.4312
1380,1.4464
1381,1.4527
1382,1.4452
1383,1.4243
1384,1.4395
1385,1.4160
1386,1.4040
1387,1.4281
1388,1.4622
1389,1.4059
1390,1.4154
1391,1.4002
1392,1.4483
1393,1.4293
1394,1.3977
1395,1.4198
1396,1.3496
1397,1.2932
1398,1.3097
1399,1.3483
1400,1.3116
1401,1.3160
1402,1.3021
1403,1.3730
1404,1.4110
1405,1.4698
1406,1.4597
1407,1.4844
1408,1.4990
1409,1.5414
1410,1.5540
1411,1.5711
1412,1.4717
1413,1.4401
1414,1.4698
1415,1.4673
1416,1.4407
1417,1.4553
1418,1.4306
1419,1.4306
1420,1.5015
1421,1.4996
1422,1.4616
1423,1.4490
1424,1.4654
1425,1.4502
1426,1.4578
1427,1.4635
1428,1.4243
1429,1.3863
1430,1.3635
1431,1.4135
1432,1.4192
1433,1.3584
1434,1.3375
1435,1.2920
1436,1.2926
1437,1.2898
1438,1.2837
1439,1.3388
1440,1.3091
1441,1.3116
1442,1.3236
1443,1.3743
1444,1.3635
1445,1.3312
1446,1.3388
1447,1.3198
1448,1.3325
1449,1.2945
1450,1.2901
1451,1.3426
1452,1.3224
1453,1.2768
1454,1.2736
1455,1.2584
1456,1.2685
1457,1.2470
1458,1.2565
1459,1.2540
1460,1.2920
1461,1.3154
1462,1.3388
1463,1.3470
1464,1.3527
1465,1.3470
1466,1.4034
1467,1.3983
1468,1.4300
1469,1.4787
1470,1.4559
1471,1.5021
1472,1.5268
1473,1.5319
1474,1.4464
1475,1.4382
1476,1.4388
1477,1.4312
1478,1.4040
1479,1.4281
1480,1.4565
1481,1.4603
1482,1.4255
1483,1.4357
1484,1.4281
1485,1.4129
1486,1.4091
1487,1.3793
1488,1.4192
1489,1.4376
1490,1.4348
1491,1.4546
1492,1.5066
1493,1.5021
1494,1.4559
1495,1.4660
1496,1.4724
1497,1.4224
1498,1.4179
1499,1.4046
1500,1.4154
1501,1.4439
1502,1.4584
1503,1.5142
1504,1.5205
1505,1.5072
1506,1.5142
1507,1.5926
1508,1.6927
1509,1.6458
1510,1.7154
1511,1.7522
1512,1.7186
1513,1.7446
1514,1.6743
1515,1.6344
1516,1.6578
1517,1.6249
1518,1.6370
1519,1.6370
1520,1.6009
1521,1.6142
1522,1.7009
1523,1.7116
1524,1.7667
1525,1.7674
1526,1.7116
1527,1.7161
1528,1.7408
1529,1.7927
1530,1.7617
1531,1.7287
1532,1.7427
1533,1.7750
1534,1.7047
1535,1.6863
1536,1.8547
1537,1.8471
1538,1.7946
1539,1.7553
1540,1.7553
1541,1.7585
1542,1.7534
1543,1.7173
1544,1.7053
1545,1.6743
1546,1.6946
1547,1.6319
1548,1.6502
1549,1.6547
1550,1.6870
1551,1.6825
1552,1.6882
1553,1.6635
1554,1.7180
1555,1.7281
1556,1.7211
1557,1.7129
1558,1.6863
1559,1.7129
1560,1.6756
1561,1.6908
1562,1.7161
1563,1.7306
1564,1.7984
1565,1.8047
1566,1.7832
1567,1.7762
1568,1.7762
1569,1.8307
1570,1.7977
1571,1.8218
1572,1.8870
1573,1.9212
1574,1.9117
1575,1.9459
1576,1.9066
1577,1.9427
1578,2.0725
1579,2.0769
1580,2.0832
1581,2.0465
1582,2.0889
1583,2.1332
1584,2.1003
1585,2.1332
1586,2.0566
1587,2.0573
1588,2.0598
1589,2.0446
1590,1.9674
1591,1.9592
1592,1.9237
1593,1.9079
1594,1.9009
1595,1.8446
1596,1.8496
1597,1.8724
1598,2.0845
1599,2.0383
1600,2.0237
1601,2.0383
1602,2.0016
1603,2.0054
1604,1.9433
1605,1.9788
1606,2.0528
1607,2.0427
1608,2.0661
1609,2.0471
1610,1.9990
1611,1.9807
1612,2.0123
1613,1.9870
1614,1.8851
1615,1.9180
1616,1.9952
1617,1.9630
1618,1.9224
1619,1.9522
1620,1.9484
1621,1.9541
1622,2.0092
1623,1.9440
1624,1.9497
1625,1.9674
1626,2.0225
1627,2.0921
1628,2.1940
1629,2.1744
1630,2.1598
1631,2.1832
1632,2.2700
1633,2.2573
1634,2.2301
1635,2.2636
1636,2.3010
1637,2.2598
1638,2.2706
1639,2.2529
1640,2.2465
1641,2.2282
1642,2.3010
1643,2.3510
1644,2.3871
1645,2.4061
1646,2.3371
1647,2.3592
1648,2.3605
1649,2.3757
1650,2.4080
1651,2.4485
1652,2.4529
1653,2.4478
1654,2.4554
1655,2.4921
1656,2.5725
1657,2.5080
1658,2.4725
1659,2.4428
1660,2.4238
1661,2.5162
1662,2.8473
1663,2.8802
1664,3.0226
1665,3.0017
1666,3.0049
1667,3.0346
1668,3.0011
1669,3.0099
1670,3.0365
1671,3.1840
1672,3.3037
1673,3.3170
1674,3.3201
1675,3.3866
1676,3.5012
1677,3.4467
1678,3.4638
1679,3.4423
1680,3.4214
1681,3.4657
1682,3.5005
1683,3.5132
1684,3.4967
1685,3.4774
1686,3.4752
1687,3.5062
1688,3.4923
1689,3.8835
1690,3.8784
1691,4.0544
1692,4.0861
1693,4.3323
1694,4.2443
1695,4.2912
1696,4.1278
1697,3.9677
1698,4.1639
1699,3.9810
1700,4.0057
1701,4.0506
1702,4.1240
1703,4.1088
1704,4.1329
1705,4.1310
1706,4.2156
1707,4.1139
1708,3.9702
1709,4.0316
1710,4.0354
1711,4.0519
1712,3.9981
1713,4.0626
1714,4.0791
1715,4.1019
1716,4.0766
1717,4.0063
1718,4.0474
1719,4.0829
1720,4.0861
1721,4.3836
1722,4.3652
1723,4.0867
1724,4.1437
1725,4.4184
1726,4.4437
1727,4.4722
1728,4.4234
1729,4.4602
1730,4.4621
1731,4.4792
1732,4.5608
1733,4.5735
1734,4.5982
1735,4.6830
1736,4.8678
1737,4.9077
1738,5.0406
1739,4.9254
1740,4.9906
1741,4.9970
1742,5.1210
1743,4.9843
1744,4.9602
1745,5.1406
1746,5.3571
1747,5.5964
1748,5.7053
1749,5.5584
1750,5.4951
1751,5.3989
1752,5.5850
1753,5.6293
1754,5.6331
1755,5.6793
1756,5.6338
1757,5.5858
1758,5.2907
1759,5.4198
1760,5.4122
1761,5.1312
1762,4.9818
1763,5.0425
1764,5.0982
1765,5.1046
1766,5.1856
1767,5.2134
1768,5.3489
1769,5.4388
1770,5.5325
1771,5.4223
1772,5.3869
1773,5.3806
1774,5.3844
1775,5.2856
1776,5.4185
1777,5.2755
1778,5.1767
1779,5.2020
1780,5.3033
1781,5.3590
1782,5.5148
1783,5.5375
1784,5.3071
1785,5.4008
1786,5.1957
1787,4.7172
1788,4.4754
1789,4.5095
1790,4.6956
1791,4.4956
1792,4.7020
1793,4.4943
1794,4.6817
1795,4.5817
1796,4.5513
1797,4.4994
1798,4.5652
1799,4.6121
1800,4.5842
1801,4.7032
1802,4.6437
1803,4.7146
1804,4.6805
1805,4.6108
1806,4.5083
1807,4.3209
1808,4.4019
1809,4.5007
1810,4.4766
1811,4.5374
1812,4.7539
1813,4.7539
1814,5.0337
1815,5.0261
1816,5.0362
1817,5.1577
1818,5.1349
1819,5.0336
1820,5.1020
1821,5.0691
1822,4.8412
1823,4.8007
1824,4.6260
1825,4.6741
1826,4.7665
1827,4.5336
1828,4.5450
1829,4.5576
1830,4.7007
1831,4.8083
1832,4.8501
1833,4.7615
1834,4.7931
1835,4.8805
1836,4.9235
1837,4.7805
1838,4.6969
1839,4.7235
1840,4.6045
1841,4.6602
1842,4.6209
1843,4.8083
1844,4.7336
1845,4.7640
1846,4.8425
1847,4.8235
1848,4.8412
1849,4.8552
1850,5.1590
1851,5.2603
1852,5.2527
1853,5.4679
1854,5.5236
1855,5.4806
1856,5.5705
1857,5.5464
1858,5.5236
1859,5.5692
1860,5.5451
1861,5.3995
1862,5.4122
1863,5.4679
1864,5.4717
1865,5.4071
1866,5.4426
1867,5.3995
1868,5.5477
1869,5.4920
1870,5.5705
1871,5.8363
